timestamp,Engine RPM,Calculated engine load value,Intake manifold absolute pressure,MAF air flow rate,Calculated instant fuel rate,Engine coolant temperature,Speed (GPS),Fuel rail pressure,Power from MAF,OBD Module Voltage,Barometric pressure,Ambient air temperature,Intake air temperature,Throttle position (manifold),LATITUDE,LONGITUDE
2025-10-17 00:00:00.000,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.000,,,,,,,0.0,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.008,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.009,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.013,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.013,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.013,,,,,,,0.0,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.014,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.014,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:00.014,,,,,,,0.0,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:04.772,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:04.772,,,,,,,0.0,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:04.773,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:04.773,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:04.773,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:04.773,,,,,,,0.0,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:04.827,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:04.827,,,,,,,,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:04.827,,,,,,,0.0,,,,,,,,13.0157822,77.5656214
2025-10-17 00:00:05.247,,,,,,,,,,,,,,,13.0159218,77.5656546
2025-10-17 00:00:05.248,,,,,,,,,,,,,,,13.0159218,77.5656546
2025-10-17 00:00:05.248,,,,,,,,,,,,,,,13.0159218,77.5656546
2025-10-17 00:00:05.248,,,,,,,,,,,,,,,13.0159218,77.5656546
2025-10-17 00:00:05.248,,,,,,,,,,,,,,,13.0159218,77.5656546
2025-10-17 00:00:05.248,,,,,,,0.0,,,,,,,,13.0159218,77.5656546
2025-10-17 00:00:05.248,,,,,,,0.0,,,,,,,,13.0159218,77.5656546
2025-10-17 00:00:10.107,,,,,,,,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.421,,,,,,,,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.421,,,,,,,0.0,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.422,,,,,,,,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.425,,,,,,,,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.425,,,,,,,,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.425,,,,,,,,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.425,,,,,,,,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.425,,,,,,,0.0,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.425,,,,,,,0.0,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.427,,,,,,,,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.427,,,,,,,,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.427,,,,,,,0.0,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.432,,,,,,,,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.432,,,,,,,,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.432,,,,,,,0.0,,,,,,,,13.0158133333333,77.5656683333333
2025-10-17 00:00:11.433,,,,,,,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:11.997,,,,,,,,,,14.0,,,,,13.0157696,77.5656189
2025-10-17 00:00:12.155,,36.078431372549,,,,,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:12.253,,,,,,74.0,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:12.325,,,,,,,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:12.325,,,13.778585110665,,,,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:12.418,824.0,,,,,,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:12.418,,,,,,,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:12.511,,,,,,,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:12.646,,,,,,,,,,,,,40.0,,13.0157696,77.5656189
2025-10-17 00:00:12.717,,,,,,,,,,14.1,,,,,13.0157696,77.5656189
2025-10-17 00:00:12.877,,35.2941176470588,,,,,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:12.963,,,,,,74.0,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:13.030,,,,,,,,,,13.9,,,,,13.0157696,77.5656189
2025-10-17 00:00:13.208,,35.2941176470588,,,,,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:13.260,,,,,,,,,,14.0,,,,,13.0157696,77.5656189
2025-10-17 00:00:13.394,,34.9019607843137,,,,,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:13.486,,,,,,74.0,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:13.539,,,,,,,,,,14.1,,,,,13.0157696,77.5656189
2025-10-17 00:00:13.654,,35.2941176470588,,,,,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:13.716,,,,,,,,,,14.0,,,,,13.0157696,77.5656189
2025-10-17 00:00:13.828,,35.2941176470588,,,,,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:13.878,,,,,,75.0,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:13.932,,,,,,,,,,14.1,,,,,13.0157696,77.5656189
2025-10-17 00:00:14.040,,35.6862745098039,,,,,,,,,,,,,13.0157696,77.5656189
2025-10-17 00:00:14.114,,,,,,,,,,13.9,,,,,13.0157696,77.5656189
